客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单
1232614367799766,******,广州科铄软件科技有限公司,2018-01-03 10:35:37,D20215C164V61335,2a,2a,S2018060RVZ14429,2018-01-12 13:26:08,续费,12月,2021-07-11 15:10:11,69,69,69,,否,,873,产商品范围不满足条件,,0,0,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,yundisk,云盘,d-uf66bbflveeqcnqiw9xd,2021-04-20 22:33:01,后付费,,2021-07-26 00:00:00,12.04224,12,12,,是,12,873,,,0.15,1.8,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,vm,云服务器ECS(包月),i-j6cbcmo5q6fgzx4b660w,2020-07-08 09:58:42,后付费,,2021-07-15 00:00:00,0.13,0.02,0.02,,是,0.02,873,,,0.15,0.003,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cbdo8jrql62t4rax6s,2020-08-06 00:04:22,后付费,,2021-07-13 00:00:00,1.2,1.2,1.2,,是,1.2,873,,,0.15,0.18,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-29 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,yundisk,云盘,d-uf66bbflveeqcnqiw9xd,2021-04-20 22:33:01,后付费,,2021-07-22 00:00:00,12.04224,12,12,,是,12,873,,,0.15,1.8,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-26 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-15 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-21 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,yundisk,云盘,d-uf66bbflveeqcnqiw9xd,2021-04-20 22:33:01,后付费,,2021-07-02 00:00:00,12.04224,12,12,,是,12,873,,,0.15,1.8,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,snapshot,快照,cn-hongkong,2018-08-22 12:49:14,后付费,,2021-07-28 00:00:00,2.704848,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,vm,云服务器ECS(包月),i-j6cbcmo5q6fgzx4b660w,2020-07-08 09:58:42,后付费,,2021-07-29 00:00:00,0.553,0.44,0.44,,是,0.44,873,,,0.15,0.066,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cbdo8jrql62t4rax6s,2020-08-06 00:04:22,后付费,,2021-07-30 00:00:00,1.2,1.2,1.2,,是,1.2,873,,,0.15,0.18,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,vm,云服务器ECS(包月),i-j6cbcmo5q6fgzx4b660w,2020-07-08 09:58:42,后付费,,2021-07-11 00:00:00,0.105,0.01,0.01,,是,0.01,873,,,0.15,0.0015,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-07 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,vm,云服务器ECS(包月),i-j6cbcmo5q6fgzx4b660w,2020-07-08 09:58:42,后付费,,2021-07-09 00:00:00,0.154,0.05,0.05,,是,0.05,873,,,0.15,0.0075,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-23 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cbdo8jrql62t4rax6s,2020-08-06 00:04:22,后付费,,2021-07-19 00:00:00,1.2,1.2,1.2,,是,1.2,873,,,0.15,0.18,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cbdo8jrql62t4rax6s,2020-08-06 00:04:22,后付费,,2021-07-14 00:00:00,1.2,1.2,1.2,,是,1.2,873,,,0.15,0.18,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,yundisk,云盘,d-uf66bbflveeqcnqiw9xd,2021-04-20 22:33:01,后付费,,2021-07-07 00:00:00,12.04224,12,12,,是,12,873,,,0.15,1.8,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,snapshot,快照,cn-shanghai,2018-05-04 15:02:13,后付费,,2021-07-16 00:00:00,0.682224,0.68,0.68,,是,0.68,873,,,0.15,0.102,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,vm,云服务器ECS(包月),i-uf6cskve0jrkghe75wn2,2018-04-25 20:51:26,后付费,,2021-07-09 00:00:00,0.181,0.14,0.14,,是,0.14,873,,,0.15,0.021,否
1951413309551346,******,上海蓝盟网络技术有限公司,2018-03-29 17:49:33,,yundisk,云盘,d-uf66bbflveeqcnqiw9xd,2021-04-20 22:33:01,后付费,,2021-07-10 00:00:00,12.04224,12,12,,是,12,873,,,0.15,1.8,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,vm,云服务器ECS(包月),i-j6cbcmo5q6fgzx4b660w,2020-07-08 09:58:42,后付费,,2021-07-07 00:00:00,0.167,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cj9wifxthypllji7qc,2020-08-09 00:04:22,后付费,,2021-07-22 00:00:00,3.6,3.6,3.6,,是,3.6,873,,,0.15,0.54,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6c9keaotx06w0b9t22m,2021-04-21 00:39:11,后付费,,2021-07-17 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6c9keaotx06w0b9t22m,2021-04-21 00:39:11,后付费,,2021-07-08 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,yundisk,云盘,d-j6cbdo8jrql62t4rax6s,2020-08-06 00:04:22,后付费,,2021-07-09 00:00:00,1.2,1.2,1.2,,是,1.2,873,,,0.15,0.18,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,vm,云服务器ECS(包月),i-j6cbcmo5q6fgzx4b660w,2020-07-08 09:58:42,后付费,,2021-07-22 00:00:00,0.116,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1232614367799766,******,广州科铄软件科技有限公司,2018-08-02 14:42:47,,snapshot,快照,cn-hongkong,2018-08-22 12:49:14,后付费,,2021-07-20 00:00:00,2.702616,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
