客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,eip,弹性公网IP（后付费）,eip-bp1kckjqjdhiboz0sbbkp,2019-08-20 10:16:09,后付费,,2021-07-27 00:00:00,0.511,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,slb,传统型负载均衡CLB（按量付费）,lb-bp1cy6h28ai2ss9ucvaih,2019-08-13 16:30:18,后付费,,2021-07-29 00:00:00,0.752,0.72,0.72,,是,0.72,873,,,0.15,0.108,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,ecs,云服务器（按量付费）,i-bp18zwppq6mvrwuv6r6l,2019-09-20 10:35:34,后付费,,2021-07-18 00:00:00,0.4704,0.24,0.24,,是,0.24,873,大客户合同用户不参与返佣,,0,0,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,slb,传统型负载均衡CLB（按量付费）,lb-bp12lz8gte6k3s3bb7sc6,2017-06-13 17:40:54,后付费,,2021-07-20 00:00:00,0.48,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,nat_gw,NAT网关（按量付费）,ngw-bp1s2eam4kengegho550r;Small,2019-07-23 17:22:35,后付费,,2021-07-14 00:00:00,12,12,12,,是,12,873,,,0.15,1.8,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,oss,对象存储OSS,cn-hangzhou;standard,2016-12-29 15:55:17,后付费,,2021-07-14 00:00:00,0.449822,0.31,0.31,,否,,873,后关联客户存量产品的非新购升级订单不参与计算,,0,0,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,opensearch_post,开放搜索按量付费,riso_product_pre;ops-cn-d5e5f0fbc884aac3,2020-07-16 10:33:46,后付费,,2021-07-25 00:00:00,15.504,15.36,15.36,,是,15.36,873,,,0.15,2.304,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,eip,弹性公网IP（后付费）,eip-bp1kckjqjdhiboz0sbbkp,2019-08-20 10:16:09,后付费,,2021-07-17 00:00:00,0.493,0.48,0.48,,是,0.48,873,,,0.15,0.072,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,rds,关系型数据库RDS(包月),rm-bp141c55or9rawx4y,2017-03-09 17:44:03,后付费,,2021-07-08 00:00:00,4.296,4.31,4.31,,是,4.31,873,,,0.15,0.6465,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,slb,传统型负载均衡CLB（按量付费）,lb-bp1r9bx0jgugoptqji3b3,2020-03-04 13:57:38,后付费,,2021-07-19 00:00:00,0.493,0.47,0.47,,是,0.47,873,,,0.15,0.0705,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,slb,传统型负载均衡CLB（按量付费）,lb-bp1mqp30f3lcmm63c9zm0,2017-06-12 09:57:48,后付费,,2021-07-22 00:00:00,0.48,0.47,0.47,,是,0.47,873,,,0.15,0.0705,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,mns,消息服务MNS,Queue:test;cn-hangzhou,2017-03-03 15:12:19,后付费,,2021-07-30 00:00:00,0.5,0.5,0.5,,是,0.5,873,,,0.15,0.075,否
1655782734425455,百联未来店riso,上海百联食百鲜商业经营管理有限公司,2017-01-20 14:44:42,,ecs,云服务器（按量付费）,i-bp18zwppq6mvrwuv6r6k,2019-09-20 10:35:35,后付费,,2021-07-21 00:00:00,0.4704,0.24,0.24,,是,0.24,873,大客户合同用户不参与返佣,,0,0,否
