客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-14 00:00:00,4.968192,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-24 00:00:00,2.611311,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-19 00:00:00,0.035,0.01,0.01,,是,0.01,873,,,0.15,0.0015,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-28 00:00:00,2.56908,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-17 00:00:00,2.437753,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-20 00:00:00,4.9812,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-24 00:00:00,4.970592,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-05 00:00:00,4.967904,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-11 00:00:00,4.966272,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-16 00:00:00,2.42664,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,rds,关系型数据库RDS(包月),rm-uf6a26d8t1d9x1f30,2019-11-04 17:38:22,后付费,,2021-07-29 00:00:00,0.998,0.96,0.96,,是,0.96,873,,,0.15,0.144,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-26 00:00:00,2.640884,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-28 00:00:00,4.967544,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-02 00:00:00,2.358144,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-03 00:00:00,4.967352,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,rds,关系型数据库RDS(包月),rm-uf6a26d8t1d9x1f30,2019-11-04 17:38:22,后付费,,2021-07-28 00:00:00,1.038,0.96,0.96,,是,0.96,873,,,0.15,0.144,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-23 00:00:00,2.576472,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-16 00:00:00,4.97616,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,rds,关系型数据库RDS(包月),rm-uf6a26d8t1d9x1f30,2019-11-04 17:38:22,后付费,,2021-07-24 00:00:00,0.672,0.55,0.55,,是,0.55,873,,,0.15,0.0825,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-13 00:00:00,2.341416,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-29 00:00:00,4.966752,5.03,5.03,,是,5.03,873,,,0.15,0.7545,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-20 00:00:00,2.41072,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-06 00:00:00,0.038,0.01,0.01,,是,0.01,873,,,0.15,0.0015,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-14 00:00:00,0.261,0.19,0.19,,是,0.19,873,,,0.15,0.0285,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-09 00:00:00,4.967016,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-03 00:00:00,2.352582,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-10 00:00:00,4.968048,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-14 00:00:00,2.390392,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-01 00:00:00,4.964568,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-15 00:00:00,0.209,0.16,0.16,,是,0.16,873,,,0.15,0.024,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-02 00:00:00,4.967688,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-22 00:00:00,4.97196,5.04,5.04,,是,5.04,873,,,0.15,0.756,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-12 00:00:00,0.035,0.02,0.02,,是,0.02,873,,,0.15,0.003,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-26 00:00:00,4.969176,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-10 00:00:00,2.323512,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,rds,关系型数据库RDS(包月),rm-uf6a26d8t1d9x1f30,2019-11-04 17:38:22,后付费,,2021-07-27 00:00:00,1.118,0.96,0.96,,是,0.96,873,,,0.15,0.144,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-27 00:00:00,2.631408,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-06 00:00:00,2.332848,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-05 00:00:00,2.343456,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-08 00:00:00,0.052,0.04,0.04,,是,0.04,873,,,0.15,0.006,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-31 00:00:00,2.550312,2.64,2.64,,是,2.64,873,,,0.15,0.396,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-31 00:00:00,4.970088,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-27 00:00:00,4.96884,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-12 00:00:00,4.966296,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,rds,关系型数据库RDS(包月),rm-uf6a26d8t1d9x1f30,2019-11-04 17:38:22,后付费,,2021-07-21 00:00:00,0.179,0.06,0.06,,是,0.06,873,,,0.15,0.009,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-18 00:00:00,2.452317,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-19 00:00:00,2.439449,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-08 00:00:00,4.966632,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-09 00:00:00,2.322048,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,vm,云服务器ECS(包月),i-2ze57e1aj6hjeg252x5n,2020-02-24 15:33:19,后付费,,2021-07-13 00:00:00,0.161,0.14,0.14,,是,0.14,873,,,0.15,0.021,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,rds,关系型数据库RDS(包月),rm-uf6a26d8t1d9x1f30,2019-11-04 17:38:22,后付费,,2021-07-22 00:00:00,0.359,0.24,0.24,,是,0.24,873,,,0.15,0.036,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-15 00:00:00,2.414105,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-04 00:00:00,4.968672,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-shanghai,2020-01-28 11:25:19,后付费,,2021-07-07 00:00:00,2.318784,2.4,2.4,,是,2.4,873,,,0.15,0.36,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-25 00:00:00,4.970496,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-21 00:00:00,4.972536,4.8,4.8,,是,4.8,873,,,0.15,0.72,否
1447271033258316,康康云主机,无锡文思海辉信息技术有限公司,2019-10-14 14:07:38,,snapshot,快照,cn-beijing,2020-01-28 11:25:19,后付费,,2021-07-30 00:00:00,4.969152,5.04,5.04,,是,5.04,873,,,0.15,0.756,否
