客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,snapshot,快照,cn-hangzhou,2018-04-17 14:56:50,后付费,,2021-08-28 00:00:00,9.434862,9.36,9.36,,是,9.36,869,,,0.15,1.404,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,eip,弹性公网IP（后付费）,eip-bp135x76qnrflbwbvzoy7,2021-04-09 16:41:40,后付费,,2021-08-22 00:00:00,0.48,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,slb,传统型负载均衡CLB（按量付费）,lb-uf67iuo9chvc31gvlk9bt,2021-03-27 21:44:23,后付费,,2021-08-06 00:00:00,0.54,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp1ds93hpo89nm6aq6lu,2019-01-15 08:33:06,后付费,,2021-08-13 00:00:00,1.054,0.98,0.98,,是,0.98,869,,,0.15,0.147,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,eip,弹性公网IP（后付费）,eip-bp135x76qnrflbwbvzoy7,2021-04-09 16:41:40,后付费,,2021-08-26 00:00:00,0.48,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-23xdpdhqa,2014-09-14 00:46:47,后付费,,2021-08-15 00:00:00,0.001,-0.01,-0.01,,否,,869,后关联客户存量产品的非新购升级订单不参与计算,,0,0,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,210350357460840,vm,云服务器ECS(包月),i-bp1gp11ilqycf7tn1x8d,2019-11-20 15:14:38,续费,1月,2021-08-20 12:17:34,444,444,444,,是,444,869,,,0.15,66.6,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,eip,弹性公网IP（后付费）,eip-bp135x76qnrflbwbvzoy7,2021-04-09 16:41:40,后付费,,2021-08-06 00:00:00,0.48,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp19f0ivnbjcrpv9s396,2017-02-15 11:12:41,后付费,,2021-08-30 00:00:00,0.141,0.15,0.15,,是,0.15,869,,,0.15,0.0225,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,snapshot,快照,cn-hangzhou,2018-04-17 14:56:50,后付费,,2021-08-08 00:00:00,9.272394,9.12,9.12,,是,9.12,869,,,0.15,1.368,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp1ds93hpo89nm6aq6lu,2019-01-15 08:33:06,后付费,,2021-08-18 00:00:00,0.889,0.83,0.83,,是,0.83,869,,,0.15,0.1245,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,eip,弹性公网IP（后付费）,eip-bp135x76qnrflbwbvzoy7,2021-04-09 16:41:40,后付费,,2021-08-16 00:00:00,0.48,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-23xdpdhqa,2014-09-14 00:46:47,后付费,,2021-08-26 00:00:00,0,0.01,0.01,,否,,869,后关联客户存量产品的非新购升级订单不参与计算,,0,0,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp1ds93hpo89nm6aq6lu,2019-01-15 08:33:06,后付费,,2021-08-20 00:00:00,0.518,0.47,0.47,,是,0.47,869,,,0.15,0.0705,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-23xdpdhqa,2014-09-14 00:46:47,后付费,,2021-08-17 00:00:00,0.001,-0.01,-0.01,,否,,869,后关联客户存量产品的非新购升级订单不参与计算,,0,0,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,snapshot,快照,cn-shanghai,2018-04-17 14:56:50,后付费,,2021-08-11 00:00:00,0.524178,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,snapshot,快照,cn-shanghai,2018-04-17 14:56:50,后付费,,2021-08-03 00:00:00,0.509163,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,oss,对象存储OSS,cn-shanghai;standard,2014-10-10 11:33:45,后付费,,2021-08-23 00:00:00,0.045392,0.02,0.02,,否,,869,后关联客户存量产品的非新购升级订单不参与计算,,0,0,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,eip,弹性公网IP（后付费）,eip-bp135x76qnrflbwbvzoy7,2021-04-09 16:41:40,后付费,,2021-08-05 00:00:00,0.48,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,slb,传统型负载均衡CLB（按量付费）,lb-uf67iuo9chvc31gvlk9bt,2021-03-27 21:44:23,后付费,,2021-08-24 00:00:00,2.4,1.2,1.2,,是,1.2,869,,,0.15,0.18,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,eip,弹性公网IP（后付费）,eip-bp135x76qnrflbwbvzoy7,2021-04-09 16:41:40,后付费,,2021-08-20 00:00:00,0.48,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp1ds93hpo89nm6aq6lu,2019-01-15 08:33:06,后付费,,2021-08-16 00:00:00,0.655,0.62,0.62,,是,0.62,869,,,0.15,0.093,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp1gp11ilqycf7tn1x8d,2019-11-20 15:14:38,后付费,,2021-08-29 00:00:00,0.603,0.51,0.51,,是,0.51,869,,,0.15,0.0765,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,vm,云服务器ECS(包月),i-bp1gp11ilqycf7tn1x8d,2019-11-20 15:14:38,后付费,,2021-08-09 00:00:00,0.41,0.38,0.38,,是,0.38,869,,,0.15,0.057,否
30523113,hi30523113@aliyun.com,上海邻里邻外信息科技有限公司,2016-09-26 10:50:22,,slb,传统型负载均衡CLB（按量付费）,lb-uf67iuo9chvc31gvlk9bt,2021-03-27 21:44:23,后付费,,2021-08-28 00:00:00,0.553,0.5,0.5,,是,0.5,869,,,0.15,0.075,否
