客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,slb,传统型负载均衡CLB（按量付费）,lb-bp1u6cg1uw1y9lxp3gknk,2018-08-20 15:53:40,后付费,,2021-08-09 00:00:00,0.854,0.79,0.79,,是,0.79,869,,,0.15,0.1185,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,slb,传统型负载均衡CLB（按量付费）,lb-bp1r16gxlbzqu7sjhq744,2018-08-20 15:51:56,后付费,,2021-08-18 00:00:00,1.686,1.61,1.61,,是,1.61,869,,,0.15,0.2415,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,210408096970180,rds,关系型数据库RDS(包月),rm-bp1se5s4572qsa69f,2018-08-01 11:51:00,续费,1月,2021-08-24 08:49:56,75,75,75,,是,75,869,,,0.15,11.25,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,slb,传统型负载均衡CLB（按量付费）,lb-bp1u6cg1uw1y9lxp3gknk,2018-08-20 15:53:40,后付费,,2021-08-29 00:00:00,0.676,0.57,0.57,,是,0.57,869,,,0.15,0.0855,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,ipv6trans,IPv6转换服务（按量付费）,ipv6trans-bp1px0xqad4jtermajhgm,2021-04-07 14:06:45,后付费,,2021-08-21 00:00:00,26.36,26.36,26.36,,是,26.36,869,产商品范围不满足条件,,0,0,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,snapshot,快照,cn-hangzhou,2016-12-14 18:20:06,后付费,,2021-08-05 00:00:00,1.945661,1.92,1.92,,是,1.92,869,,,0.15,0.288,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,slb,传统型负载均衡CLB（按量付费）,lb-bp1u6cg1uw1y9lxp3gknk,2018-08-20 15:53:40,后付费,,2021-08-14 00:00:00,0.506,0.48,0.48,,是,0.48,869,,,0.15,0.072,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,oss,对象存储OSS,cn-hangzhou;standard,2016-11-20 11:05:18,后付费,,2021-08-19 00:00:00,0.392315,0.29,0.29,,是,0.29,869,,,0.15,0.0435,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,ipv6trans,IPv6转换服务（按量付费）,ipv6trans-bp1px0xqad4jtermajhgm,2021-04-07 14:06:45,后付费,,2021-08-07 00:00:00,26.36,26.36,26.36,,是,26.36,869,产商品范围不满足条件,,0,0,否
1175970643696548,国金证券股份有限公司,国金证券股份有限公司,2016-08-08 16:08:16,,ipv6trans,IPv6转换服务（按量付费）,ipv6trans-bp1px0xqad4jtermajhgm,2021-04-07 14:06:45,后付费,,2021-08-02 00:00:00,26.36,26.36,26.36,,是,26.36,869,产商品范围不满足条件,,0,0,否
