客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,slb,传统型负载均衡CLB（按量付费）,lb-uf6jfwu5xahb1c8o89454,2017-07-24 14:50:47,后付费,,2023-01-23 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,eip,弹性公网IP（后付费）,eip-uf6y6dnghghw67qpue9l8,2017-07-26 14:33:30,后付费,,2023-01-10 23:59:59,0.018,0.01,0.01,,是,0.01,885,,,0.12,0.0012,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,slb,传统型负载均衡CLB（按量付费）,lb-uf6jfwu5xahb1c8o89454,2017-07-24 14:50:47,后付费,,2023-01-20 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,snapshot,快照,cn-shanghai,2017-07-26 16:02:54,后付费,,2023-01-24 23:59:59,4.261776,4.08,4.08,,是,4.08,885,,,0.12,0.4896,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,eip,弹性公网IP（后付费）,eip-uf6y6dnghghw67qpue9l8,2017-07-26 14:33:30,后付费,,2023-01-31 23:59:59,0.029,0.01,0.01,,是,0.01,885,,,0.12,0.0012,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,slb,传统型负载均衡CLB（按量付费）,lb-uf6jfwu5xahb1c8o89454,2017-07-24 14:50:47,后付费,,2023-01-15 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,sls,日志服务,1690598636956734;xmrz;firewall-log;cn-shanghai,2021-09-16 10:58:27,后付费,,2023-01-24 23:59:59,0.082124,0.08,0.08,,是,0.08,885,,,0.12,0.0096,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,sls,日志服务,1690598636956734;xmrz;firewall-log;cn-shanghai-b,2021-09-16 10:58:27,后付费,,2023-01-08 23:59:59,0.042112,0.04,0.04,,是,0.04,885,,,0.12,0.0048,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,snapshot,快照,cn-shanghai,2017-07-26 16:02:54,后付费,,2023-01-08 23:59:59,3.233952,3.12,3.12,,是,3.12,885,,,0.12,0.3744,否,,自己,1,2017-06-28 16:02:36,有
1690598636956734,大润无线传媒,上海师域信息科技有限公司,2017-06-28 16:02:37,,yundisk,云盘,d-uf610ddgm0psqiwiiio9,2019-04-04 14:41:35,后付费,,2023-01-27 23:59:59,0.588,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2017-06-28 16:02:36,有
