客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,vm,云服务器ECS(包月),i-j6cc9z4q1hs7x6hdhc7i,2021-10-11 15:43:18,后付费,,2023-01-06 23:59:59,113.979,73.88,73.88,,是,73.88,885,,5,0.05,3.694,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,vm,云服务器ECS(包月),i-j6cf6uwn59rt5cl388cl,2021-10-11 16:15:22,后付费,,2023-01-08 23:59:59,0.04,0.04,0.04,,是,0.04,885,,5,0.05,0.002,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,vm,云服务器ECS(包月),i-j6c6gt4172chleobezol,2021-08-31 17:05:58,后付费,,2023-01-11 23:59:59,0.429,0.31,0.31,,是,0.31,885,,5,0.05,0.0155,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,oss,对象存储OSS,us-west-1;standard,2017-09-27 13:04:59,后付费,,2023-01-09 23:59:59,138.62266,90.03,90.03,,是,90.03,885,,5,0.05,4.5015,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,rds,关系型数据库RDS(包月),rm-bp128cvex6ech23p0,2021-07-07 09:57:12,后付费,,2023-01-24 23:59:59,0,0.01,0.01,,是,0.01,885,,5,0.05,0.0005,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,vm,云服务器ECS(包月),i-j6cf6uwn59rt5cl388cl,2021-10-11 16:15:22,后付费,,2023-01-03 23:59:59,0.056,0.09,0.09,,是,0.09,885,,5,0.05,0.0045,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,eip,弹性公网IP（后付费）,eip-uf6u37swd88c3ko67l13z,2022-02-10 11:07:11,后付费,,2023-01-27 23:59:59,0.48,0.27,0.27,,是,0.27,885,,5,0.05,0.0135,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,rds,关系型数据库RDS(包月),rm-uf6y661f9tfmk7ub4,2022-02-09 09:27:14,后付费,,2023-01-12 23:59:59,0,0.02,0.02,,是,0.02,885,,5,0.05,0.001,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,ecs,云服务器（按量付费）,i-j6cdja66l1tqmvwyxo98,2022-11-25 10:42:58,后付费,,2023-01-16 23:59:59,21.673608,13.92,13.92,,是,13.92,885,,5,0.05,0.696,否,,自己,1,2009-05-07 08:41:18,有
1685388259843499,科沃斯小家电,科沃斯机器人股份有限公司,2017-02-28 13:30:43,,sls,日志服务,1685388259843499;cnmall;dbxz9h9jty-metas;cn-shanghai-b,2021-09-10 17:19:08,后付费,,2023-01-07 23:59:59,0.08,0.05,0.05,,是,0.05,885,,5,0.05,0.0025,否,,自己,1,2009-05-07 08:41:18,有
