客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,sls,日志服务,1846701680539595;swd-prod-cdn;swd-prod-cdn;cn-shanghai,2018-01-05 15:13:36,后付费,,2023-01-16 23:59:59,0.112497,0.11,0.11,,是,0.11,885,,,0.12,0.0132,否,,自己,1,2017-08-02 21:28:59,有
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,sls,日志服务,1846701680539595;swd-dev-log;useractionlog;cn-shanghai,2018-01-05 15:13:36,后付费,,2023-01-17 23:59:59,0.08,0.08,0.08,,是,0.08,885,,,0.12,0.0096,否,,自己,1,2017-08-02 21:28:59,有
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,mns,消息服务MNS,Queue:swd-dev-businessevent;cn-shanghai,2017-12-28 14:36:41,后付费,,2023-01-10 23:59:59,0.5,0.5,0.5,,是,0.5,885,,,0.12,0.06,否,,自己,-,-,无
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,sls,日志服务,1846701680539595;swd-prod-log;channel-api-call-log;cn-shanghai,2018-01-05 15:13:36,后付费,,2023-01-03 23:59:59,4.379874,4.38,4.38,,是,4.38,885,,,0.12,0.5256,否,,自己,-,-,无
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,slb,传统型负载均衡CLB（按量付费）,lb-uf6ncklhlr69huxrkrhin,2018-05-08 13:13:03,后付费,,2023-01-04 23:59:59,0.49,0.47,0.47,,是,0.47,885,,,0.12,0.0564,否,,自己,-,-,无
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,slb,传统型负载均衡CLB（按量付费）,lb-uf6y636bshte1yvzduddc,2018-07-31 14:44:42,后付费,,2023-01-20 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2017-08-02 21:28:59,有
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,sls,日志服务,1846701680539595;swd-dev-log;testfilebeat;cn-shanghai,2018-01-05 15:13:36,后付费,,2023-01-12 23:59:59,0.08,0.08,0.08,,是,0.08,885,,,0.12,0.0096,否,,自己,1,2017-08-02 21:28:59,有
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,sls,日志服务,1846701680539595;swd-prod-log;businesseventtasklog;cn-shanghai,2018-01-05 15:13:36,后付费,,2023-01-11 23:59:59,0.699593,0.7,0.7,,是,0.7,885,,,0.12,0.084,否,,自己,1,2017-08-02 21:28:59,有
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,sls,日志服务,1846701680539595;swd-prod-log;internal-consumergroup_log;cn-shanghai,2018-01-05 15:13:36,后付费,,2023-01-02 23:59:59,0.08,0.08,0.08,,是,0.08,885,,,0.12,0.0096,否,,自己,-,-,无
1846701680539595,斯维登集团,上海途颐信息技术有限公司,2017-08-17 14:48:47,,slb,传统型负载均衡CLB（按量付费）,lb-uf6ncklhlr69huxrkrhin,2018-05-08 13:13:03,后付费,,2023-01-31 23:59:59,0.496,0.49,0.49,,是,0.49,885,,,0.12,0.0588,否,,自己,1,2017-08-02 21:28:59,有
