客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,fc,函数计算,midway-http,2020-12-24 18:40:01,后付费,,2023-01-12 23:59:59,0.313,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2017-09-28 09:42:32,无
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;lsll;audit;cn-hangzhou-c,2020-12-16 11:40:36,后付费,,2023-01-10 23:59:59,0.094064,0.09,0.09,,是,0.09,885,,,0.12,0.0108,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;hlj20;error;cn-qingdao,2020-12-16 11:40:36,后付费,,2023-01-03 23:59:59,0.080116,0.08,0.08,,是,0.08,885,,,0.12,0.0096,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;cll20;audit;cn-chengdu,2020-12-16 11:40:36,后付费,,2023-01-25 23:59:59,1.226659,1.22,1.22,,是,1.22,885,,,0.12,0.1464,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;log-service-1234263519431432-cn-hangzhou;internal-operation_log;cn-hangzhou-c,2020-12-16 11:40:36,后付费,,2023-01-11 23:59:59,0.088009,0.09,0.09,,是,0.09,885,,,0.12,0.0108,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,oss,对象存储OSS,cn-chengdu;standard,2020-11-27 12:37:35,后付费,,2023-01-01 23:59:59,2.738832,2.61,2.61,,是,2.61,885,,,0.12,0.3132,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;log-service-1234263519431432-cn-hangzhou;internal-operation_log;cn-hangzhou,2020-12-16 11:40:36,后付费,,2023-01-14 23:59:59,0.08801,0.09,0.09,,是,0.09,885,,,0.12,0.0108,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;cll20;error;cn-chengdu,2020-12-16 11:40:36,后付费,,2023-01-27 23:59:59,0.080374,0.08,0.08,,是,0.08,885,,,0.12,0.0096,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;cll20;audit;cn-chengdu,2020-12-16 11:40:36,后付费,,2023-01-29 23:59:59,1.394551,1.39,1.39,,是,1.39,885,,,0.12,0.1668,否,,自己,1,2017-09-28 09:42:32,有
1234263519431432,cdyyesunadv,成都奕阳现代科技有限公司,2019-07-19 14:57:11,,sls,日志服务,1234263519431432;aliyun-fc-cn-hangzhou-21fbd1f5-8681-5d3e-85f0-2e3f64ff260a;function-log;cn-hangzhou,2020-12-16 11:40:36,后付费,,2023-01-29 23:59:59,0.064113,0.06,0.06,,是,0.06,885,,,0.12,0.0072,否,,自己,1,2017-09-28 09:42:32,有
