客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1932258341269419,中油立方科技,天津油立方科技有限公司,2019-05-20 16:34:29,,dysms_system,短信服务-系统短信,1932258341269419,2020-04-30 16:01:05,后付费,,2023-01-01 23:59:59,0.09,0.09,0.09,,是,0.09,885,产商品范围不满足条件,,0,0,否,,自己,1,2019-05-20 16:34:29,无
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,snapshot,快照,cn-beijing,2020-07-19 16:01:13,后付费,,2023-01-31 23:59:59,1.38612,1.37,1.37,,是,1.37,885,,,0.12,0.1644,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,snapshot,快照,cn-beijing,2020-07-19 16:01:13,后付费,,2023-01-25 23:59:59,1.38612,1.38,1.38,,是,1.38,885,,,0.12,0.1656,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,snapshot,快照,cn-beijing,2020-07-19 16:01:13,后付费,,2023-01-21 23:59:59,1.669459,1.63,1.63,,是,1.63,885,,,0.12,0.1956,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,dcdn,全站加速,1106786763121102,2020-07-19 16:01:13,后付费,,2023-01-14 23:59:59,0.238,0.23,0.23,,是,0.23,885,,,0.12,0.0276,否,,自己,1,2020-04-13 15:32:01,无
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,eip,弹性公网IP（后付费）,eip-2zeese8ua7s73mfwgp41w,2020-11-06 18:24:14,后付费,,2023-01-06 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,eip,弹性公网IP（后付费）,eip-2zeese8ua7s73mfwgp41w,2020-11-06 18:24:14,后付费,,2023-01-30 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,eip,弹性公网IP（后付费）,eip-2zeese8ua7s73mfwgp41w,2020-11-06 18:24:14,后付费,,2023-01-12 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,snapshot,快照,cn-hangzhou,2020-07-19 16:01:13,后付费,,2023-01-24 23:59:59,0.863732,0.86,0.86,,是,0.86,885,,,0.12,0.1032,否,,自己,1,2020-04-13 15:32:01,有
1106786763121102,魔方天津,魔方（天津）网络科技有限公司,2020-04-13 15:32:01,,eip,弹性公网IP（后付费）,eip-2zeese8ua7s73mfwgp41w,2020-11-06 18:24:14,后付费,,2023-01-14 23:59:59,0.48,0.48,0.48,,是,0.48,885,,,0.12,0.0576,否,,自己,1,2020-04-13 15:32:01,有
