客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,rds,关系型数据库RDS(包月),rm-uf6wy40p6b9vje551,2022-08-03 18:37:39,后付费,,2023-01-11 23:59:59,27.664,27.56,27.56,,是,27.56,885,,,0.12,3.3072,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,slb,传统型负载均衡CLB（按量付费）,lb-uf6osz7b4foh0y6zyfyht,2016-11-28 14:43:02,后付费,,2023-01-07 23:59:59,2.595,2.62,2.62,,是,2.62,885,,,0.12,0.3144,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,sls,日志服务,1803578248348322;jincheng-actiontrail;actiontrail_jincheng_actiontrail;cn-hangzhou,2020-03-31 13:51:30,后付费,,2023-01-25 23:59:59,0.37468,0.37,0.37,,是,0.37,885,,,0.12,0.0444,否,,自己,1,2001-10-18 00:00:00,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,slb,传统型负载均衡CLB（按量付费）,lb-uf6isip6l6s84unbjs8rm,2016-11-28 14:45:12,后付费,,2023-01-16 23:59:59,38.88,38.88,38.88,,是,38.88,885,,,0.12,4.6656,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,vod,视频点播,1803578248348322;AP1,2018-09-07 11:26:26,后付费,,2023-01-30 23:59:59,50.632,50.59,50.59,,是,50.59,885,,,0.12,6.0708,否,,自己,1,2001-10-18 00:00:00,无
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,slb,传统型负载均衡CLB（按量付费）,lb-uf6izcs2jo0yp9n0bqx01,2018-05-22 16:01:42,后付费,,2023-01-12 23:59:59,0.802,0.8,0.8,,是,0.8,885,,,0.12,0.096,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,vod,视频点播,1803578248348322;CN,2018-09-07 11:26:26,后付费,,2023-01-04 23:59:59,0,0.02,0.02,,是,0.02,885,,,0.12,0.0024,否,,自己,1,2016-11-04 16:32:28,无
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,waf_captcha,验证码服务,waf_captcha-cn-v0h0tt0bp27,2018-10-15 10:11:51,后付费,,2023-01-15 23:59:59,10,10,10,,是,10,885,,,0.12,1.2,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,vod,视频点播,1803578248348322;AP2,2018-09-07 11:26:26,后付费,,2023-01-15 23:59:59,0.38,0.37,0.37,,是,0.37,885,,,0.12,0.0444,否,,自己,1,2016-11-04 16:32:28,无
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,slb,传统型负载均衡CLB（按量付费）,lb-uf6isip6l6s84unbjs8rm,2016-11-28 14:45:12,后付费,,2023-01-11 23:59:59,38.88,38.88,38.88,,是,38.88,885,,,0.12,4.6656,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,slb,传统型负载均衡CLB（按量付费）,lb-uf6osz7b4foh0y6zyfyht,2016-11-28 14:43:02,后付费,,2023-01-03 23:59:59,2.128,2.13,2.13,,是,2.13,885,,,0.12,0.2556,否,,自己,1,2016-11-04 16:32:28,有
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,vod,视频点播,1803578248348322;CN,2018-09-07 11:26:26,后付费,,2023-01-01 23:59:59,0,0.01,0.01,,是,0.01,885,,,0.12,0.0012,否,,自己,1,2016-11-04 16:32:28,无
1803578248348322,金程云平台,上海金程教育培训有限公司,2016-11-04 16:32:28,,slb,传统型负载均衡CLB（按量付费）,lb-uf6x79d6358mdbb5mzwpz,2016-11-28 14:46:06,后付费,,2023-01-22 23:59:59,5.28,5.28,5.28,,是,5.28,885,,,0.12,0.6336,否,,自己,1,2016-11-04 16:32:28,有
